"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"DIODE-SOD80C";"SOD80C";"D1, D2, D3, D4";"DIODE";"";
"1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1";"LED";"";
"2";"100n";"C-EUC0805";"C0805";"C1, C2";"CAPACITOR, European symbol";"";
"2";"10k";"R-EU_R0805";"R0805";"R1, R2";"RESISTOR, European symbol";"";
"1";"12k";"R-EU_R0805";"R0805";"R3";"RESISTOR, European symbol";"";
"1";"180";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";
"1";"47k";"R-EU_R0805";"R0805";"R4";"RESISTOR, European symbol";"";
"1";"4k7";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";
"1";"AKL18X-02W";"AKL18X-02W";"AKL182-02";"X1";"Riacon AKL18X Steckverbinder";"";
"1";"ALLSERIALSLAVE";"ALLSERIALSLAVE";"DAUGHTER-THT";"X2";"";"";
"1";"BC817";"BC817-16LT1SMD";"SOT23-BEC";"Q1";"NPN Transistor";"";
"1";"MCP6542";"LM393D";"SO08";"IC1";"COMPARATOR";"";
"1";"TCMC27";"ZENER-DIODESOD80C";"SOD80C";"D6";"Z-Diode";"";
"1";"TCMC7V5";"ZENER-DIODESOD80C";"SOD80C";"D5";"Z-Diode";"";
